,_administr: 85,another study: 140,study data: 64,business: 192,practice_change: 42,design_change: 55,enroll_completed: 47,funding: 228,futility: 50,bad_design: 24,efficacy: 147,bad_enroll: 960,key_staff: 110,lost_interest: 19,none: 149,regulatory: 80,resources: 73,safety: 132,see_more: 112,sponsor: 81,completed: 40,success: 7,interim: 24,logistics: 59,endpoint_unmet: 20,covid-19: 447,_ethical: 8,_insufficient_data: 13,_irreproducible: 1,_endpoint_met: 15,_non_compliance: 15,_not_a_clinical_t: 4,_other: 120,_pharmacokinetics: 2,_side_effects: 3,_study_moved: 5
_ethical: 8,0.958741181,0.952323925,0.962083416,0.955537661,0.956809531,0.96016577,0.949354981,0.950627993,0.95204466,0.961320857,0.945687493,0.943094915,0.947089433,0.965290592,0.943563957,0.966077049,0.95513133,0.951549262,0.840844547,0.94858007,0.930223758,0.931862116,0.939437804,0.959076859,0.935487593,0.913737189,1,0.896359764,0.89231838,0.948452458,0.955045146,0.880261409,0.96168208,0.882270074,0.906480235,0.926897262
_insufficient_data: 13,0.907260256,0.906737616,0.912228682,0.896974085,0.903332907,0.908556949,0.926098924,0.914863847,0.898898998,0.920479881,0.919643284,0.93026893,0.885901323,0.91113866,0.916924685,0.887744167,0.930546964,0.907665019,0.832733663,0.866921164,0.914321801,0.894959785,0.910008992,0.924683841,0.897896051,0.860671057,0.896359764,1,0.851015166,0.909098511,0.907806301,0.872945369,0.914132908,0.855377751,0.89329008,0.873837163
_irreproducible: 1,0.883817627,0.922559517,0.920059557,0.891704064,0.922917008,0.904040027,0.88685993,0.869001514,0.919543225,0.923957064,0.921283522,0.894860502,0.893404824,0.909143763,0.876296777,0.909321421,0.900540377,0.900888776,0.806552356,0.859196575,0.862327,0.900485514,0.86604975,0.921541076,0.908389275,0.87665774,0.89231838,0.851015166,1,0.9239217,0.907658117,0.836010148,0.921724016,0.851765862,0.864939223,0.872175977
_endpoint_met: 15,0.94278388,0.981813371,0.985538124,0.95306226,0.978601686,0.968879108,0.961632222,0.925806589,0.970901965,0.97565295,0.981105804,0.954817342,0.953408214,0.961304072,0.938083101,0.964324981,0.962457299,0.971158317,0.864741671,0.919000588,0.939202949,0.977849761,0.951025165,0.975142926,0.980571155,0.936786711,0.948452458,0.909098511,0.9239217,1,0.959760567,0.880129894,0.978075552,0.9218777,0.929924201,0.940378954
_non_compliance: 15,0.961890826,0.96803149,0.976265492,0.957325319,0.975559325,0.970393088,0.958672378,0.948332989,0.963055681,0.980027613,0.973604128,0.970151344,0.951599694,0.967751803,0.954488119,0.967501785,0.97482646,0.974961553,0.853978315,0.938780439,0.940455215,0.950754097,0.944412077,0.978589882,0.958153421,0.935053203,0.955045146,0.907806301,0.907658117,0.959760567,1,0.88269027,0.972571864,0.907743284,0.93647214,0.93397675
_not_a_clinical_t: 4,0.866684415,0.890500936,0.88626913,0.869051909,0.87587939,0.885755209,0.874022053,0.870961631,0.900069977,0.907311187,0.896580984,0.881828641,0.853780589,0.895130467,0.88804669,0.869657481,0.873300255,0.876640793,0.755755013,0.874232048,0.893212565,0.873401394,0.887747319,0.879614995,0.88647169,0.816564157,0.880261409,0.872945369,0.836010148,0.880129894,0.88269027,1,0.886149673,0.81205738,0.838745253,0.839122893
_other: 120,0.96324303,0.98997551,0.989051078,0.973080073,0.987731151,0.986014717,0.969986074,0.952017532,0.968044763,0.982000745,0.977133004,0.966080305,0.969396202,0.979228038,0.959406388,0.983899933,0.98214791,0.97621587,0.885527183,0.943450559,0.95301445,0.967902338,0.954443372,0.983849664,0.96802139,0.961344619,0.96168208,0.914132908,0.921724016,0.978075552,0.972571864,0.886149673,1,0.920076024,0.93734049,0.9570376
_pharmacokinetics: 2,0.886163848,0.921076508,0.928292675,0.896563113,0.917456713,0.903942686,0.894493896,0.864212296,0.900495299,0.912180543,0.927050474,0.898642858,0.898284124,0.890919087,0.882906295,0.906037277,0.915889624,0.930028457,0.812563469,0.860096903,0.878263911,0.914683571,0.89056153,0.922156119,0.905141294,0.879758636,0.882270074,0.855377751,0.851765862,0.9218777,0.907743284,0.81205738,0.920076024,1,0.908339507,0.875434056
_side_effects: 3,0.916532406,0.935013769,0.941878408,0.92298417,0.937638434,0.931702235,0.923680054,0.899057699,0.909369249,0.926547522,0.94005316,0.925778338,0.915833916,0.9184659,0.922090153,0.923279978,0.946377998,0.957523024,0.861469397,0.886753519,0.915492302,0.929442132,0.904299715,0.939792619,0.911020786,0.901397635,0.906480235,0.89329008,0.864939223,0.929924201,0.93647214,0.838745253,0.93734049,0.908339507,1,0.910821477
_study_moved: 5,0.94071688,0.957477484,0.949333045,0.959800846,0.957506097,0.965768423,0.948169419,0.935186474,0.916108078,0.941164174,0.929954421,0.934144453,0.974018937,0.954533551,0.944609187,0.957675004,0.959124684,0.934856682,0.860267435,0.921040477,0.93437011,0.92508367,0.921564928,0.949421633,0.925204866,0.937954496,0.926897262,0.873837163,0.872175977,0.940378954,0.93397675,0.839122893,0.9570376,0.875434056,0.910821477,1
